Metal Aleante,Beneficio Aportado al Acero
Carbono,Aumenta la dureza y resistencia; disminuye la ductilidad.
Manganeso,Mejora la resistencia al desgaste y la dureza; actúa como desoxidante.
Níquel,Incrementa la tenacidad y la resistencia a bajas temperaturas.
Cromo,Proporciona resistencia a la corrosión y mejora la dureza.
Molibdeno,Mejora la resistencia al calor y la resistencia a la fluencia.
Vanadio,Incrementa la resistencia al desgaste y la dureza en caliente.
Silicio,Aumenta la elasticidad y mejora la resistencia al choque.
Tungsteno,Proporciona alta dureza y resistencia al calor.
Cobalto,Mejora la estabilidad a altas temperaturas y la dureza.
Titanio,Aumenta la resistencia a la corrosión y refina el grano.
Fósforo,Mejora la resistencia y la dureza; reduce la ductilidad.
Azufre,Facilita el maquinado pero reduce la tenacidad.
Boro,Aumenta la templabilidad y la resistencia mecánica.
Cobre,Proporciona resistencia a la corrosión atmosférica.
Aluminio,Actúa como desoxidante y mejora la resistencia a la oxidación.
Niobio,Refina el grano y mejora la resistencia mecánica.
Zirconio,Reduce la fragilidad y mejora la resistencia a altas temperaturas.
Calcio,Mejora la maquinabilidad y reduce inclusiones no metálicas.
Selenio,Facilita el maquinado y mejora la superficie.
Magnesio,Incrementa la ductilidad y la resistencia al impacto.
